slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
blockpi-amoy-free-recent-state,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/polygon/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockpi-amoy-pay-as-you-go-full-archive,,!offer:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockpi-amoy-pay-as-you-go-recent-state,,!offer:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockpi-amoy-premium-full-archive,,!offer:blockpi-premium-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockpi-amoy-premium-recent-state,,!offer:blockpi-premium-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-dedicated-full-archive,,!offer:blockpi-dedicated-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-dedicated-recent-state,,!offer:blockpi-dedicated-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-elementary-full-archive,,!offer:blockpi-elementary-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-elementary-recent-state,,!offer:blockpi-elementary-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-full-archive,,!offer:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/polygon/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-recent-state,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/polygon/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-full-archive,,!offer:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-recent-state,,!offer:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-premium-full-archive,,!offer:blockpi-premium-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-premium-recent-state,,!offer:blockpi-premium-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chain-love-mainnet-free-indexer,,!offer:chain-love-free-indexer,"[""[Deploy](https://polygon.chain.love/graph)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/polygon)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainbase-mainnet-developer-custom,,!offer:chainbase-developer-custom,"[""[Contact](https://platform.chainbase.com/contact)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainbase-mainnet-free-custom,,!offer:chainbase-free-custom,"[""[Website](https://platform.chainbase.com/chainNetwork/Polygon)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainnodes-polgon-pay-as-you-go-archive,,!offer:chainnodes-pay-as-you-go-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainnodes-polygon-free-archive,,!offer:chainnodes-free-full-archive,"[""[Buy](https://www.chainnodes.org/pricing)"",""[Docs](https://www.chainnodes.org/docs)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-amoy-business-full-archive,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
chainstack-amoy-business-recent-state,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
chainstack-amoy-developer-recent-state,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
chainstack-amoy-growth-full-archive,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
chainstack-amoy-growth-recent-state,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
chainstack-amoy-pro-full-archive,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
